dataPointIndex,height,time,physics_time,physics_value,physics_speed,physics_acceleration,cusum_currentValue,cusum_windowAverage,cusum_windowStDev,cusum_peakResult,cusum_positiveSum,cusum_negativeSum
0,0.000,0.000,,,,,,,,,,
0,437.661,1723711929.800,,,,,,,,,,
1,427.639,1723711930.600,,,,,,,,,,
2,425.415,1723711931.000,1723711931.000,425.415,-5.560,17.419,,,,,,
3,424.466,1723711931.200,1723711931.200,424.466,-4.745,4.075,,,,,,
4,424.846,1723711931.400,1723711931.400,424.846,1.900,33.225,,,,,,
5,424.911,1723711931.600,1723711931.600,424.911,0.325,-7.875,,,,,,
6,423.567,1723711931.800,1723711931.800,423.567,-6.720,-35.225,,,,,,
7,422.200,1723711932.000,1723711932.000,422.200,-6.835,-0.575,,,,,,
8,423.432,1723711932.200,1723711932.200,423.432,6.160,64.975,,,,,,
9,420.414,1723711932.400,1723711932.400,420.414,-15.090,-106.250,,,,,,
10,418.770,1723711932.600,1723711932.600,418.770,-8.220,34.350,,,,,,
11,416.229,1723711932.800,1723711932.800,416.229,-12.705,-22.425,,,,,,
12,415.143,1723711933.000,1723711933.000,415.143,-5.430,36.375,,,,,,
13,413.752,1723711933.200,1723711933.200,413.752,-6.955,-7.625,,,,,,
14,413.803,1723711933.400,1723711933.400,413.803,0.255,36.050,,,,,,
15,414.980,1723711933.600,1723711933.600,414.980,5.885,28.150,,,,,,
16,411.404,1723711933.800,1723711933.800,411.404,-17.880,-118.825,,,,,,
17,410.928,1723711934.000,1723711934.000,410.928,-2.380,77.500,,,,,,
18,410.737,1723711934.200,1723711934.200,410.737,-0.955,7.125,,,,,,
19,411.234,1723711934.400,1723711934.400,411.234,2.485,17.200,,,,,,
20,411.160,1723711934.600,1723711934.600,411.160,-0.370,-14.275,,,,,,
21,410.325,1723711934.800,1723711934.800,410.325,-4.175,-19.025,,,,,,
22,410.453,1723711935.000,1723711935.000,410.453,0.640,24.075,,,,,,
23,410.638,1723711935.200,1723711935.200,410.638,0.925,1.425,,,,,,
24,410.850,1723711935.400,1723711935.400,410.850,1.060,0.675,,,,,,
25,410.921,1723711935.600,1723711935.600,410.921,0.355,-3.525,,,,,,
26,411.005,1723711935.800,1723711935.800,411.005,0.420,0.325,,,,,,
27,411.041,1723711936.000,1723711936.000,411.041,0.180,-1.200,,,,,,
28,411.049,1723711936.200,1723711936.200,411.049,0.040,-0.700,,,,,,
29,410.343,1723711936.400,1723711936.400,410.343,-3.530,-17.850,,,,,,
30,409.828,1723711936.600,1723711936.600,409.828,-2.575,4.775,,,,,,
31,409.319,1723711936.800,1723711936.800,409.319,-2.545,0.150,,,,,,
32,409.278,1723711937.000,1723711937.000,409.278,-0.205,11.700,-0.205,-2.868,5.440,0,0.000,0.000
33,408.683,1723711937.200,1723711937.200,408.683,-2.975,-13.850,-2.975,-2.689,5.436,0,0.000,0.000
34,408.140,1723711937.400,1723711937.400,408.140,-2.715,1.300,-2.715,-2.631,5.423,0,0.000,0.000
35,407.726,1723711937.600,1723711937.600,407.726,-2.070,3.225,-2.070,-2.784,5.358,0,0.000,0.000
36,407.284,1723711937.800,1723711937.800,407.284,-2.210,-0.700,-2.210,-2.864,5.329,0,0.000,0.000
37,406.915,1723711938.000,1723711938.000,406.915,-1.845,1.825,-1.845,-2.714,5.281,0,0.000,0.000
38,406.546,1723711938.200,1723711938.200,406.546,-1.845,0.000,-1.845,-2.547,5.227,0,0.000,0.000
39,406.188,1723711938.400,1723711938.400,406.188,-1.790,0.275,-1.790,-2.814,4.974,0,0.000,0.000
40,405.864,1723711938.600,1723711938.600,405.864,-1.620,0.850,-1.620,-2.371,4.422,0,0.000,0.000
41,405.845,1723711938.800,1723711938.800,405.845,-0.095,7.625,-0.095,-2.151,4.288,0,0.000,0.000
42,405.804,1723711939.000,1723711939.000,405.804,-0.205,-0.550,-0.205,-1.731,3.826,0,0.000,0.000
43,405.767,1723711939.200,1723711939.200,405.767,-0.185,0.100,-0.185,-1.557,3.772,0,0.000,0.000
44,405.672,1723711939.400,1723711939.400,405.672,-0.475,-1.450,-0.475,-1.331,3.642,0,0.000,0.000
45,405.497,1723711939.600,1723711939.600,405.497,-0.875,-2.000,-0.875,-1.355,3.634,0,0.000,0.000
46,405.385,1723711939.800,1723711939.800,405.385,-0.560,1.575,-0.560,-1.581,3.379,0,0.000,0.000
47,405.293,1723711940.000,1723711940.000,405.293,-0.460,0.500,-0.460,-1.003,1.504,0,0.000,0.000
48,405.223,1723711940.200,1723711940.200,405.223,-0.350,0.550,-0.350,-0.939,1.485,0,0.000,0.000
49,405.163,1723711940.400,1723711940.400,405.163,-0.300,0.250,-0.300,-0.919,1.489,0,0.000,0.000
