time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-08-17T17:42:51.99Z,52.5585400,-0.3844793,39.805,-6.34,-16.65,3.19,56.821,78.544,4.99,249.13976,15.20414,3,6
2024-08-17T17:42:52.20Z,52.5585205,-0.3845236,34.577,-6.74,-16.77,3.02,40.924,47.523,3.09,248.10162,11.47887,3,6
2024-08-17T17:42:52.80Z,52.5584843,-0.3846672,33.026,-8.42,-15.86,-0.45,30.079,36.858,1.87,242.04936,8.44682,3,6
2024-08-17T17:42:53.00Z,52.5584710,-0.3847144,33.369,-8.68,-16.39,-0.88,27.246,33.385,1.83,242.09518,7.94055,3,6
2024-08-17T17:42:53.20Z,52.5584538,-0.3847601,33.268,-9.09,-16.02,-1.09,25.078,30.664,1.80,240.42864,7.87526,3,6
2024-08-17T17:42:53.40Z,52.5584314,-0.3848051,32.738,-9.75,-15.54,-1.53,23.367,28.571,1.80,237.88868,7.90653,3,6
2024-08-17T17:42:53.60Z,52.5584128,-0.3848625,31.904,-10.06,-16.82,-1.05,21.959,26.833,1.80,239.11282,7.24334,3,6
2024-08-17T17:42:53.80Z,52.5583936,-0.3849192,30.987,-9.97,-17.17,-1.10,20.745,25.286,1.76,239.86884,7.01910,3,6
2024-08-17T17:42:54.00Z,52.5583725,-0.3849720,30.582,-10.38,-17.06,-1.78,19.694,23.963,1.77,238.68400,7.00605,3,7
2024-08-17T17:42:54.20Z,52.5583531,-0.3850277,30.296,-10.46,-17.74,-1.97,18.759,22.792,1.67,239.47412,6.62971,3,7
2024-08-17T17:42:54.40Z,52.5583333,-0.3850832,29.758,-10.38,-17.57,-1.85,17.914,21.704,1.63,239.42360,6.60316,3,7
2024-08-17T17:42:54.60Z,52.5583144,-0.3851402,29.165,-10.77,-18.10,-1.34,17.197,20.781,1.63,239.25256,6.38070,3,6
2024-08-17T17:42:54.80Z,52.5582947,-0.3851981,28.686,-10.60,-19.49,-0.97,16.726,20.313,1.54,241.47074,5.40025,3,7
2024-08-17T17:42:55.00Z,52.5582766,-0.3852590,28.358,-11.17,-19.78,-0.61,16.164,19.588,1.61,240.54440,5.64437,3,6
2024-08-17T17:42:55.20Z,52.5582577,-0.3853176,28.123,-11.42,-19.23,-0.65,15.668,18.968,1.71,239.30262,5.94262,3,6
2024-08-17T17:42:55.40Z,52.5582379,-0.3853763,27.669,-11.61,-19.11,-0.54,15.212,18.383,1.65,238.73020,5.96888,3,6
2024-08-17T17:42:55.59Z,52.5582178,-0.3854370,27.206,-11.90,-19.84,-0.30,14.951,18.213,1.65,239.05950,4.90976,3,7
2024-08-17T17:42:55.79Z,52.5581970,-0.3854945,27.026,-11.85,-19.82,-0.38,14.707,18.030,1.61,239.11984,4.64289,3,7
2024-08-17T17:42:56.00Z,52.5581769,-0.3855558,26.829,-11.67,-20.68,-0.58,14.461,17.819,1.42,240.56378,4.03306,3,7
2024-08-17T17:42:56.20Z,52.5581547,-0.3856188,26.316,-11.88,-21.15,-0.35,14.231,17.626,1.39,240.68054,3.87698,3,7
2024-08-17T17:42:56.40Z,52.5581343,-0.3856821,26.145,-11.87,-21.30,-0.55,13.997,17.402,1.38,240.87226,3.78251,3,7
2024-08-17T17:42:56.62Z,52.5581157,-0.3857462,23.937,-11.61,-21.66,-0.77,13.817,17.424,1.31,241.79676,3.31614,3,9
2024-08-17T17:42:56.81Z,52.5580959,-0.3858080,21.716,-11.10,-21.51,-0.62,13.630,17.353,1.24,242.69968,2.95495,3,9
2024-08-17T17:42:57.01Z,52.5580766,-0.3858714,19.279,-11.37,-22.13,-0.45,12.939,16.674,1.10,242.80550,2.77967,3,10
2024-08-17T17:42:57.20Z,52.5580585,-0.3859307,16.908,-11.25,-22.47,-0.20,12.337,16.072,1.07,243.40240,2.63031,3,10
2024-08-17T17:42:57.40Z,52.5580385,-0.3859964,14.784,-11.51,-23.11,-0.27,11.818,15.554,0.96,243.52512,2.70439,3,10
2024-08-17T17:42:57.60Z,52.5580181,-0.3860649,13.004,-12.05,-22.76,-0.31,11.901,15.720,1.07,242.10338,3.04001,3,9
2024-08-17T17:42:57.80Z,52.5579961,-0.3861318,11.120,-12.16,-23.10,-0.32,11.940,15.817,1.10,242.23930,3.06664,3,9
2024-08-17T17:42:58.00Z,52.5579740,-0.3861998,9.445,-12.01,-23.66,-0.22,11.393,15.239,1.16,243.07942,2.92320,3,10
2024-08-17T17:42:58.20Z,52.5579520,-0.3862685,8.453,-11.75,-23.96,-0.06,10.938,14.727,1.05,243.87406,2.65079,3,11
2024-08-17T17:42:58.40Z,52.5579280,-0.3863353,8.159,-12.22,-23.73,-0.39,10.554,14.287,1.01,242.75232,2.43903,3,11
2024-08-17T17:42:58.60Z,52.5579022,-0.3864039,7.908,-12.92,-23.42,-0.39,10.247,13.924,1.00,241.12024,2.41844,3,11
2024-08-17T17:42:58.80Z,52.5578728,-0.3864646,7.816,-13.61,-23.97,-1.37,9.520,13.260,0.95,240.41600,1.95580,3,12
2024-08-17T17:42:59.00Z,52.5578406,-0.3865231,7.819,-13.94,-23.90,-1.04,8.855,12.456,0.93,239.75174,2.07185,3,14
2024-08-17T17:42:59.20Z,52.5578069,-0.3865836,7.690,-14.49,-24.11,-0.41,8.311,11.796,0.89,238.99006,1.96189,3,14
2024-08-17T17:42:59.40Z,52.5577750,-0.3866464,7.794,-14.24,-24.27,-0.11,7.845,11.216,0.82,239.60034,1.83504,3,14
2024-08-17T17:42:59.60Z,52.5577446,-0.3867108,8.482,-13.98,-24.52,-0.67,7.453,10.731,0.82,240.31538,1.55548,3,14
2024-08-17T17:42:59.80Z,52.5577102,-0.3867687,9.215,-14.33,-25.45,-1.12,7.051,10.282,0.84,240.61374,1.34856,3,15
2024-08-17T17:42:59.99Z,52.5576778,-0.3868339,10.189,-14.30,-25.96,-1.29,6.731,9.932,0.84,241.15646,1.27095,3,15
2024-08-17T17:43:00.19Z,52.5576046,-0.3868503,27.636,-14.36,-26.13,-1.63,28.153,50.367,1.11,241.21366,1.70396,3,15
2024-08-17T17:43:00.39Z,52.5575758,-0.3869074,31.411,-14.01,-25.38,-1.28,21.836,27.124,1.00,241.09802,1.77631,3,15
2024-08-17T17:43:00.59Z,52.5575559,-0.3869756,31.369,-14.14,-26.09,-1.17,20.573,28.860,0.94,241.54792,1.60257,3,15
2024-08-17T17:43:00.79Z,52.5575248,-0.3870586,31.020,-14.42,-27.09,-0.75,17.290,25.487,0.96,241.97694,1.61229,3,15
2024-08-17T17:43:00.99Z,52.5574991,-0.3871388,31.320,-14.31,-26.73,-0.87,15.401,23.590,0.97,241.83190,1.51386,3,15
2024-08-17T17:43:01.20Z,52.5574740,-0.3872211,31.707,-14.36,-26.64,-0.94,14.083,22.110,1.07,241.66590,1.48392,3,15
2024-08-17T17:43:01.40Z,52.5574509,-0.3873032,31.795,-15.03,-27.26,-0.82,12.994,20.786,1.12,241.13738,1.58724,3,15
2024-08-17T17:43:01.60Z,52.5574258,-0.3873838,31.793,-15.24,-27.73,-0.79,12.185,19.732,1.20,241.20620,1.96541,3,14
2024-08-17T17:43:01.80Z,52.5573997,-0.3874651,31.649,-15.64,-27.29,-0.77,11.514,18.746,1.16,240.17926,1.96577,3,14
2024-08-17T17:43:02.00Z,52.5573727,-0.3875472,31.808,-15.61,-27.73,-0.89,10.960,17.931,1.10,240.62762,1.81119,3,14
2024-08-17T17:43:02.20Z,52.5573439,-0.3876330,31.567,-15.80,-28.23,-0.52,10.488,17.182,1.07,240.76098,1.74508,3,14
2024-08-17T17:43:02.40Z,52.5573161,-0.3877168,31.551,-15.73,-27.43,-0.68,10.052,16.575,0.99,240.17382,1.71178,3,14
2024-08-17T17:43:02.60Z,52.5572883,-0.3877999,31.988,-16.15,-28.12,-0.87,9.708,16.109,0.99,240.13254,1.58800,3,15
2024-08-17T17:43:02.80Z,52.5572628,-0.3878829,32.202,-15.65,-28.48,-0.90,9.357,15.654,0.92,241.20972,1.55115,3,15
2024-08-17T17:43:03.00Z,52.5572360,-0.3879680,32.328,-15.69,-29.05,-1.05,9.063,15.262,0.89,241.62794,1.51891,3,15
2024-08-17T17:43:03.20Z,52.5572091,-0.3880543,32.687,-15.04,-28.88,-1.12,8.824,14.905,1.02,242.49484,1.75081,3,15
2024-08-17T17:43:03.40Z,52.5571815,-0.3881416,32.869,-15.96,-29.17,-1.05,8.594,14.550,1.01,241.31832,1.69657,3,15
2024-08-17T17:43:03.60Z,52.5571533,-0.3882293,32.944,-16.21,-29.53,-0.82,8.365,14.204,1.00,241.23438,1.67511,3,15
2024-08-17T17:43:03.80Z,52.5571238,-0.3883179,33.042,-16.31,-29.75,-0.63,8.158,13.876,0.96,241.26160,1.61714,3,15
2024-08-17T17:43:04.00Z,52.5570947,-0.3884066,33.212,-16.31,-29.63,-0.74,7.969,13.577,0.97,241.17000,1.67388,3,15
2024-08-17T17:43:04.20Z,52.5570643,-0.3884952,33.108,-16.79,-29.58,-0.37,7.767,13.275,0.87,240.41954,1.66763,3,16
2024-08-17T17:43:04.40Z,52.5570335,-0.3885855,33.012,-17.42,-30.26,-0.45,7.596,12.998,0.93,240.07490,1.62691,3,16
2024-08-17T17:43:04.60Z,52.5570026,-0.3886753,33.067,-16.94,-30.34,-0.28,7.433,12.733,0.94,240.82244,1.70029,3,16
2024-08-17T17:43:04.80Z,52.5569715,-0.3887648,33.313,-17.52,-30.23,-0.38,7.280,12.482,0.94,239.90332,1.73120,3,16
2024-08-17T17:43:05.00Z,52.5569405,-0.3888551,33.575,-17.34,-30.30,-0.53,7.134,12.241,0.94,240.21838,1.62243,3,16
2024-08-17T17:43:05.20Z,52.5569092,-0.3889463,33.718,-17.51,-30.76,-1.00,6.988,12.017,0.87,240.34662,1.56578,3,16
2024-08-17T17:43:05.40Z,52.5568775,-0.3890395,33.786,-17.64,-31.26,-0.94,6.845,11.790,0.89,240.57248,1.46330,3,16
2024-08-17T17:43:05.60Z,52.5568456,-0.3891322,33.735,-17.38,-31.29,-0.67,6.704,11.567,0.85,240.94916,1.40559,3,16
2024-08-17T17:43:05.80Z,52.5568143,-0.3892250,33.946,-17.37,-31.65,-0.97,6.558,11.317,0.83,241.23964,1.35608,3,16
2024-08-17T17:43:06.00Z,52.5567818,-0.3893177,33.714,-17.48,-31.41,-0.54,6.418,11.069,0.95,240.90364,1.34871,3,18
2024-08-17T17:43:06.20Z,52.5567496,-0.3894116,33.858,-17.54,-31.85,-0.57,6.251,10.789,0.85,241.15062,1.24924,3,19
2024-08-17T17:43:06.40Z,52.5567163,-0.3895062,33.425,-17.64,-31.57,-0.57,6.084,10.521,0.83,240.80734,1.24290,3,19
2024-08-17T17:43:06.60Z,52.5566828,-0.3896006,33.320,-17.83,-32.02,-0.74,5.931,10.239,0.82,240.88312,1.17412,3,20
2024-08-17T17:43:06.80Z,52.5566499,-0.3896975,33.435,-17.87,-32.50,-0.76,5.790,9.959,0.77,241.19634,1.08452,3,21
2024-08-17T17:43:07.00Z,52.5566170,-0.3897946,33.869,-17.95,-32.39,-1.26,5.653,9.696,0.73,241.00064,1.00030,3,21
2024-08-17T17:43:07.20Z,52.5565845,-0.3898907,34.588,-17.95,-32.20,-1.72,5.526,9.453,0.76,240.86414,1.03364,3,21
2024-08-17T17:43:07.40Z,52.5565521,-0.3899875,35.167,-17.67,-32.73,-1.91,5.413,9.233,0.77,241.63434,1.03216,3,20
2024-08-17T17:43:07.60Z,52.5565201,-0.3900854,35.835,-17.74,-32.99,-1.79,5.310,9.036,0.77,241.73218,1.00554,3,20
2024-08-17T17:43:07.80Z,52.5564878,-0.3901844,36.165,-17.90,-33.49,-1.31,5.215,8.856,0.79,241.87832,1.00271,3,20
2024-08-17T17:43:08.00Z,52.5564544,-0.3902842,36.491,-19.03,-33.48,-1.26,5.123,8.687,0.77,240.38062,0.93617,3,20
2024-08-17T17:43:08.20Z,52.5564206,-0.3903836,36.547,-18.38,-33.31,-1.06,5.040,8.532,0.79,241.11186,0.99838,3,20
2024-08-17T17:43:08.40Z,52.5563874,-0.3904825,36.601,-18.13,-33.18,-1.03,4.963,8.390,0.76,241.35372,0.94703,3,20
2024-08-17T17:43:08.60Z,52.5563553,-0.3905818,36.919,-17.72,-33.46,-0.99,4.895,8.263,0.80,242.09352,0.94507,3,20
2024-08-17T17:43:08.80Z,52.5563231,-0.3906813,37.361,-17.85,-33.64,-1.36,4.830,8.142,0.79,242.04934,1.01539,3,20
2024-08-17T17:43:09.00Z,52.5562901,-0.3907795,37.667,-18.69,-32.73,-1.35,4.769,8.027,0.79,240.27308,1.05681,3,20
2024-08-17T17:43:09.20Z,52.5562568,-0.3908785,37.802,-18.36,-33.48,-1.11,4.711,7.918,0.80,241.25722,1.05110,3,20
2024-08-17T17:43:09.40Z,52.5562232,-0.3909786,38.078,-18.62,-33.80,-1.13,4.656,7.815,0.80,241.14846,1.07528,3,20
2024-08-17T17:43:09.60Z,52.5561891,-0.3910787,38.616,-19.00,-33.83,-1.32,4.605,7.716,0.79,240.67306,0.98383,3,20
2024-08-17T17:43:09.80Z,52.5561547,-0.3911787,39.346,-19.12,-33.43,-2.52,4.555,7.625,0.85,240.23672,1.06371,3,20
2024-08-17T17:43:10.00Z,52.5561212,-0.3912777,40.479,-18.44,-33.60,-3.15,4.510,7.538,0.83,241.23460,1.19561,3,20
2024-08-17T17:43:10.20Z,52.5560874,-0.3913769,41.312,-18.87,-33.19,-3.41,4.465,7.455,0.85,240.38550,1.19386,3,20
2024-08-17T17:43:10.40Z,52.5560534,-0.3914775,41.937,-18.71,-34.16,-2.91,4.423,7.373,0.83,241.29736,1.17236,3,20
2024-08-17T17:43:10.60Z,52.5560194,-0.3915801,42.442,-18.74,-34.50,-2.30,4.383,7.298,0.82,241.49494,1.14541,3,20
