time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2024-08-14T07:52:08.600Z,49.4944781,13.3768584,3478.677,-17.10,54.18,-6.75,168.148,110.906,5.49,107.51858,10.63747,3,4
2024-08-14T07:52:08.800Z,49.4944487,13.3770240,3480.983,-18.69,54.62,-5.43,97.326,71.339,3.11,108.88702,6.02824,3,4
2024-08-14T07:52:09.600Z,49.4943361,13.3776669,3488.639,-18.13,55.83,-4.95,75.740,54.165,2.49,107.98822,4.31528,3,4
2024-08-14T07:52:09.800Z,49.4943031,13.3778227,3489.399,-18.38,55.40,-4.77,70.746,50.599,2.43,108.35418,4.20068,3,4
2024-08-14T07:52:10Z,49.4942659,13.3779728,3490.244,-19.00,55.37,-4.33,66.672,48.000,2.32,108.93980,4.08829,3,4
2024-08-14T07:52:10.200Z,49.4942320,13.3781255,3491.846,-18.91,55.13,-4.21,63.224,45.754,2.28,108.93000,4.01546,3,4
2024-08-14T07:52:10.400Z,49.4941979,13.3782840,3492.670,-19.75,56.48,-3.89,60.425,43.816,2.52,109.27192,3.92151,3,4
2024-08-14T07:52:10.600Z,49.4941619,13.3784463,3493.132,-20.27,57.80,-3.31,58.069,42.130,2.61,109.32968,3.84693,3,4
2024-08-14T07:52:10.800Z,49.4941273,13.3786037,3494.178,-19.17,57.80,-3.41,55.981,40.412,2.72,108.34710,3.86203,3,4
2024-08-14T07:52:11Z,49.4940953,13.3787615,3494.328,-18.07,57.72,-3.71,54.138,39.004,2.79,107.38014,3.87423,3,4
2024-08-14T07:52:11.200Z,49.4940672,13.3789255,3494.110,-17.66,57.86,-4.06,52.454,37.797,2.56,106.96824,3.79938,3,4
2024-08-14T07:52:11.400Z,49.4940386,13.3790890,3494.425,-17.40,57.70,-4.28,50.881,36.746,2.49,106.77940,3.76530,3,4
2024-08-14T07:52:11.600Z,49.4940099,13.3792538,3495.455,-17.14,57.98,-4.44,49.517,35.833,2.48,106.46826,3.72073,3,4
2024-08-14T07:52:11.800Z,49.4939781,13.3794117,3496.139,-17.12,57.54,-4.61,48.337,35.022,2.51,106.56986,3.73405,3,4
2024-08-14T07:52:12Z,49.4939482,13.3795730,3497.256,-17.21,57.27,-4.83,47.258,34.302,2.51,106.72282,3.74806,3,4
2024-08-14T07:52:12.200Z,49.4939192,13.3797364,3498.607,-17.01,57.59,-4.83,46.204,33.809,2.47,106.45308,3.71134,3,4
2024-08-14T07:52:12.400Z,49.4938876,13.3798921,3500.100,-16.90,56.96,-5.08,45.270,33.301,2.45,106.52462,3.74866,3,4
2024-08-14T07:52:12.600Z,49.4938562,13.3800526,3500.836,-17.46,57.13,-4.87,44.340,32.797,2.36,106.99020,3.70937,3,4
2024-08-14T07:52:12.800Z,49.4938249,13.3802117,3501.664,-17.58,57.12,-4.88,43.529,32.459,2.44,107.11008,3.72017,3,4
2024-08-14T07:52:13Z,49.4937942,13.3803749,3502.400,-17.71,57.80,-4.68,42.694,32.078,2.31,107.03158,3.64355,3,4
2024-08-14T07:52:13.200Z,49.4937621,13.3805377,3503.164,-17.96,58.12,-4.70,41.947,31.686,2.26,107.17560,3.59995,3,4
2024-08-14T07:52:13.400Z,49.4937263,13.3806907,3504.171,-17.76,57.51,-4.70,41.184,31.293,2.25,107.15868,3.61128,3,4
2024-08-14T07:52:13.600Z,49.4936939,13.3808515,3505.178,-17.77,58.16,-4.67,40.474,30.902,2.25,106.99314,3.54824,3,4
2024-08-14T07:52:13.800Z,49.4936633,13.3810113,3506.411,-17.39,58.13,-4.88,39.782,30.519,2.22,106.65116,3.52465,3,4
2024-08-14T07:52:14Z,49.4936327,13.3811701,3507.433,-17.24,57.86,-5.07,39.214,30.054,2.21,106.59576,3.52258,3,4
2024-08-14T07:52:14.200Z,49.4936017,13.3813299,3508.363,-17.34,58.10,-5.12,38.686,29.698,2.24,106.62132,3.50245,3,4
2024-08-14T07:52:20.800Z,49.4922568,13.3864949,3544.797,-23.30,54.93,-4.75,100.534,72.246,2.16,112.98694,5.92102,3,4
2024-08-14T07:52:21Z,49.4921857,13.3866014,3546.796,-24.13,54.25,-4.41,90.709,67.491,1.79,113.97608,5.08564,3,4
2024-08-14T07:52:21.200Z,49.4921199,13.3867141,3547.431,-24.47,53.73,-3.64,83.828,63.888,1.68,114.48598,4.65095,3,4
2024-08-14T07:52:21.400Z,49.4920584,13.3868230,3547.843,-24.99,53.42,-3.56,78.178,60.639,1.61,115.06918,4.37217,3,4
2024-08-14T07:52:21.600Z,49.4919953,13.3869287,3548.271,-25.12,53.26,-3.56,73.343,58.157,1.57,115.25620,4.18695,3,4
