time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-06-23T12:31:01.20Z,52.8203828,-0.7201815,3849.476,-16.05,72.75,-20.88,311.682,303.244,15.56,102.44312,17.20544,3,4
2024-06-23T12:31:01.40Z,52.8203508,-0.7199296,3849.634,-16.25,72.36,-18.67,247.674,235.655,10.94,102.65440,12.08846,3,4
2024-06-23T12:31:01.60Z,52.8203167,-0.7197168,3852.025,-16.21,72.09,-19.09,227.295,217.006,7.44,102.67330,7.77952,3,4
2024-06-23T12:31:01.80Z,52.8202784,-0.7195133,3854.184,-14.77,71.07,-19.81,191.905,184.019,5.93,101.74056,5.82314,3,4
2024-06-23T12:31:02.00Z,52.8202405,-0.7193214,3855.935,-13.30,70.26,-19.84,169.646,162.780,5.66,100.72142,5.75729,3,4
2024-06-23T12:31:02.20Z,52.8202061,-0.7191142,3858.181,-12.56,69.72,-18.75,154.436,148.224,4.87,100.21170,4.71901,3,4
2024-06-23T12:31:02.40Z,52.8201716,-0.7189139,3860.199,-13.18,69.24,-18.30,142.854,137.021,4.85,100.77420,4.76472,3,4
2024-06-23T12:31:02.60Z,52.8201292,-0.7187168,3861.470,-13.79,69.21,-18.00,133.480,127.989,4.60,101.27102,4.35102,3,4
2024-06-23T12:31:02.80Z,52.8200776,-0.7185305,3861.499,-14.71,69.37,-17.76,125.410,120.226,4.40,101.96908,4.12231,3,4
2024-06-23T12:31:03.00Z,52.8200278,-0.7183624,3860.834,-13.87,69.15,-17.65,118.496,113.438,4.31,101.34232,4.08113,3,4
2024-06-23T12:31:03.20Z,52.8199783,-0.7181825,3860.883,-14.69,69.53,-17.33,112.629,107.685,4.24,101.92650,4.02397,3,4
2024-06-23T12:31:03.40Z,52.8199338,-0.7179882,3862.252,-15.64,70.01,-17.00,107.460,102.709,4.12,102.59322,3.81176,3,4
2024-06-23T12:31:03.60Z,52.8198887,-0.7178108,3862.630,-15.25,69.19,-16.90,103.072,98.460,3.77,102.43128,3.75574,3,4
2024-06-23T12:31:03.80Z,52.8198441,-0.7176207,3863.919,-15.75,69.19,-17.12,99.348,94.853,3.61,102.82656,3.70227,3,4
2024-06-23T12:31:04.00Z,52.8197899,-0.7174385,3863.750,-15.90,69.02,-16.71,96.074,91.741,3.37,102.97382,3.65383,3,4
2024-06-23T12:31:04.20Z,52.8197361,-0.7172586,3863.348,-15.82,68.63,-16.03,92.918,88.744,3.07,102.97842,3.59693,3,4
2024-06-23T12:31:04.40Z,52.8196824,-0.7170738,3863.091,-15.90,68.45,-15.02,90.084,86.035,2.96,103.07732,3.54829,3,4
2024-06-23T12:31:04.60Z,52.8196358,-0.7168897,3863.566,-15.78,67.55,-14.60,87.516,83.577,2.91,103.14988,3.54635,3,4
2024-06-23T12:31:04.80Z,52.8195891,-0.7167017,3864.548,-16.12,67.49,-14.93,85.117,81.309,2.87,103.43736,3.50052,3,4
2024-06-23T12:31:05.00Z,52.8195405,-0.7165103,3865.358,-16.20,67.77,-14.76,82.860,79.216,2.85,103.44568,3.43566,3,4
2024-06-23T12:31:05.20Z,52.8195005,-0.7163194,3866.852,-15.32,67.31,-14.77,80.862,77.298,2.90,102.82422,3.51360,3,4
2024-06-23T12:31:05.40Z,52.8194575,-0.7161245,3868.241,-15.21,67.43,-14.65,79.085,75.610,2.90,102.70784,3.42305,3,4
2024-06-23T12:31:05.60Z,52.8194080,-0.7159322,3868.748,-15.74,67.44,-14.04,77.428,74.033,2.87,103.13732,3.33864,3,4
2024-06-23T12:31:05.80Z,52.8193649,-0.7157322,3870.381,-15.97,67.52,-13.85,75.878,72.556,2.85,103.30560,3.27720,3,4
2024-06-23T12:31:06.00Z,52.8193253,-0.7155366,3872.154,-15.82,67.06,-13.81,74.425,71.170,2.84,103.27512,3.25427,3,4
