time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2024-08-15T08:52:09.80Z,49.4179006,13.3247151,437.661,0.76,7,-0.19,159.847,98.191,6.03,83.82598,15.57617,3,4
2024-08-15T08:52:10.60Z,49.4178922,13.3243746,427.639,0.25,6.34,-0.28,85.16,49.842,5.45,86.35934,28.57391,3,4
2024-08-15T08:52:11.00Z,49.417921,13.3244836,425.415,-0.87,5.71,-0.12,55.467,42.805,2.5,94.2382,21.49659,3,4
2024-08-15T08:52:11.20Z,49.4179285,13.3245484,424.466,-1.14,6.23,0.3,44.596,40.198,1.87,98.1533,16.28396,3,4
2024-08-15T08:52:11.40Z,49.417934,13.3245632,424.846,-0.11,5.76,0.46,35.092,35.418,1.25,94.26046,14.64851,3,6
2024-08-15T08:52:11.60Z,49.417929,13.3245518,424.911,0.4,5.51,0.47,32.461,34.237,2.02,91.19088,19.37207,3,5
2024-08-15T08:52:11.80Z,49.4179248,13.3245251,423.567,0.12,5.73,0.43,30.328,33.133,1.54,89.7136,15.00513,3,5
2024-08-15T08:52:12.00Z,49.4179197,13.324516,422.2,-0.07,5.94,0.64,28.583,32.096,1.28,90.25634,13.10453,3,5
2024-08-15T08:52:12.20Z,49.4179106,13.3245314,423.432,0.41,6.03,0.59,23.151,27.92,0.6,87.8141,10.8955,3,7
2024-08-15T08:52:12.40Z,49.4179125,13.3245335,420.414,0.34,5.97,0.39,20.615,26.325,0.57,87.26516,10.86221,3,10
2024-08-15T08:52:12.60Z,49.41791,13.3245349,418.77,0.39,5.93,0.35,19.226,25.309,0.64,86.70588,10.42954,3,10
2024-08-15T08:52:12.80Z,49.4178952,13.3245413,416.229,0.27,6.1,0.35,17.644,23.772,0.63,87.14272,9.31789,3,13
2024-08-15T08:52:13.00Z,49.417886,13.3245522,415.143,0.14,6.12,0.56,16.27,22.151,0.62,87.98846,8.69487,3,15
2024-08-15T08:52:13.20Z,49.4178748,13.3245721,413.752,0.34,6.09,0.68,15.125,20.88,0.6,87.35808,8.31756,3,16
2024-08-15T08:52:13.40Z,49.4178733,13.3245885,413.803,0.23,6.08,0.73,14.324,19.971,0.62,87.60792,7.88902,3,17
2024-08-15T08:52:13.60Z,49.4178723,13.3246,414.98,0.09,6.02,0.81,13.464,18.822,0.55,88.43824,7.1254,3,19
2024-08-15T08:52:13.80Z,49.4178388,13.3246206,411.404,0.13,6.3,0.66,11.578,16.583,0.49,88.69534,5.32497,3,22
2024-08-15T08:52:14.00Z,49.4178319,13.3246365,410.928,0.35,6.25,0.59,10.66,15.486,0.47,87.73932,5.29191,3,19
2024-08-15T08:52:14.20Z,49.4178283,13.3246531,410.737,0.3,6.27,0.26,9.959,14.605,0.51,87.502,5.30307,3,18
2024-08-15T08:52:14.40Z,49.417829,13.3246694,411.234,0.21,6.25,-0.03,9.429,13.905,0.52,87.81412,5.3605,3,19
2024-08-15T08:52:14.60Z,49.4178278,13.3246865,411.16,0.31,6.26,0.07,8.972,13.254,0.52,87.48352,5.26596,3,20
2024-08-15T08:52:14.80Z,49.417822,13.3247046,410.325,0.26,6.28,0.21,8.435,12.499,0.51,87.58436,4.91952,3,21
2024-08-15T08:52:15.00Z,49.4178224,13.3247222,410.453,0.16,6.23,0.03,8.097,11.998,0.49,88.05956,5.1266,3,20
2024-08-15T08:52:15.20Z,49.4178233,13.3247405,410.638,0.13,6.29,0.05,7.801,11.547,0.53,88.44218,5.33559,3,20
2024-08-15T08:52:15.40Z,49.4178243,13.3247587,410.85,0.15,6.27,-0.14,7.534,11.151,0.51,88.54088,5.303,3,20
2024-08-15T08:52:15.60Z,49.4178255,13.3247769,410.921,0.15,6.26,0.18,7.309,10.801,0.54,88.59458,5.95696,3,21
2024-08-15T08:52:15.80Z,49.417827,13.3247951,411.005,0.27,6.25,0.14,7.107,10.476,0.58,88.07406,6.16692,3,21
2024-08-15T08:52:16.00Z,49.4178283,13.3248128,411.041,0.18,6.36,0.22,6.926,10.187,0.59,88.21824,6.03828,3,21
2024-08-15T08:52:16.20Z,49.4178277,13.3248303,411.049,0.18,6.16,-0.17,6.728,9.909,0.58,88.2554,6.13284,3,22
2024-08-15T08:52:16.40Z,49.4178236,13.3248478,410.343,0.34,6.09,-0.11,6.47,9.554,0.59,87.47448,5.86476,3,24
2024-08-15T08:52:16.60Z,49.4178213,13.3248644,409.828,0.17,6.09,-0.09,6.237,9.232,0.58,87.94106,5.72633,3,24
2024-08-15T08:52:16.80Z,49.4178183,13.3248817,409.319,0.31,6.18,-0.16,6.021,8.933,0.59,87.50478,5.3693,3,24
2024-08-15T08:52:17.00Z,49.4178189,13.3248993,409.278,0.25,6.28,0.25,5.889,8.746,0.6,87.6164,5.89761,3,23
2024-08-15T08:52:17.20Z,49.4178164,13.3249173,408.683,0.16,6.33,0.58,5.725,8.513,0.62,88.09316,5.76969,3,24
2024-08-15T08:52:17.40Z,49.4178139,13.324935,408.14,0.2,6.26,0.62,5.578,8.306,0.62,88.12782,5.66994,3,24
